settings,precision,mrr,map
dfr_in_no_no_x_1, 0.8199999999999998, 1.0, 0.939638321995
dfr_in_no_no_x_2, 0.8719999999999998, 1.0, 0.968790046296
dfr_in_no_no_x_3, 0.9019999999999995, 1.0, 0.988645998677
dfr_in_no_no_x_4, 0.8999999999999996, 1.0, 0.990485229277
dfr_in_no_no_s_1, 0.7209999999999998, 1.0, 0.922433508125
dfr_in_no_no_s_2, 0.7969999999999999, 1.0, 0.961880747669
dfr_in_no_no_s_3, 0.8039999999999992, 1.0, 0.973347938713
dfr_in_no_no_s_4, 0.7939999999999994, 1.0, 0.966148014298
dfr_in_no_no_w_1, 0.8500000000000005, 1.0, 0.981118898022
dfr_in_no_no_w_2, 0.8960000000000004, 1.0, 0.998009700176
dfr_in_no_no_w_3, 0.9000000000000006, 1.0, 0.995534391534
dfr_in_no_no_w_4, 0.8990000000000006, 1.0, 0.989602347884
dfr_in_no_no_ws_1, 0.6910000000000003, 1.0, 0.95460316358
dfr_in_no_no_ws_2, 0.8160000000000003, 1.0, 0.981181878307
dfr_in_no_no_ws_3, 0.8180000000000004, 1.0, 0.987422430083
dfr_in_no_no_ws_4, 0.7980000000000003, 1.0, 0.979512621252
dfr_in_no_no_p_1, 0.8289999999999997, 1.0, 0.94376266062
dfr_in_no_no_p_2, 0.8679999999999997, 1.0, 0.972342427249
dfr_in_no_no_p_3, 0.9039999999999995, 1.0, 0.989979332011
dfr_in_no_no_p_4, 0.8999999999999996, 1.0, 0.990485229277
dfr_in_no_no_ps_1, 0.7269999999999998, 1.0, 0.925933508125
dfr_in_no_no_ps_2, 0.7959999999999998, 1.0, 0.961091946964
dfr_in_no_no_ps_3, 0.8019999999999993, 1.0, 0.97512571649
dfr_in_no_no_ps_4, 0.7959999999999994, 1.0, 0.97192976033
dfr_in_no_no_pw_1, 0.8500000000000004, 1.0, 0.983205317775
dfr_in_no_no_pw_2, 0.8820000000000005, 1.0, 0.993175485009
dfr_in_no_no_pw_3, 0.8870000000000005, 1.0, 0.995534391534
dfr_in_no_no_pw_4, 0.8970000000000005, 1.0, 0.990852347884
dfr_in_no_no_pws_1, 0.698, 1.0, 0.959915183296
dfr_in_no_no_pws_2, 0.7810000000000004, 1.0, 0.975675540123
dfr_in_no_no_pws_3, 0.7890000000000005, 1.0, 0.980879275321
dfr_in_no_no_pws_4, 0.8000000000000003, 1.0, 0.979786541005
dfr_in_no_no_k_1, 0.8169999999999998, 1.0, 0.932534706475
dfr_in_no_no_k_2, 0.8679999999999999, 1.0, 0.969171957672
dfr_in_no_no_k_3, 0.9039999999999998, 1.0, 0.987494472789
dfr_in_no_no_k_4, 0.8959999999999998, 1.0, 0.990408840388
dfr_in_no_no_ks_1, 0.7249999999999999, 1.0, 0.913207758566
dfr_in_no_no_ks_2, 0.7939999999999996, 1.0, 0.95938146416
dfr_in_no_no_ks_3, 0.8039999999999995, 1.0, 0.971643471277
dfr_in_no_no_ks_4, 0.7759999999999994, 1.0, 0.967573853616
dfr_in_no_no_kw_1, 0.8290000000000002, 1.0, 0.983462758251
dfr_in_no_no_kw_2, 0.894, 1.0, 0.993169863316
dfr_in_no_no_kw_3, 0.8950000000000006, 1.0, 0.994366071429
dfr_in_no_no_kw_4, 0.8970000000000005, 1.0, 0.989950947972
dfr_in_no_no_kws_1, 0.671, 1.0, 0.941319976694
dfr_in_no_no_kws_2, 0.8129999999999998, 1.0, 0.975335490678
dfr_in_no_no_kws_3, 0.8150000000000004, 1.0, 0.985512566138
dfr_in_no_no_kws_4, 0.8030000000000004, 1.0, 0.977050925926
dfr_in_no_no_kp_1, 0.8199999999999998, 1.0, 0.935562484253
dfr_in_no_no_kp_2, 0.8619999999999998, 1.0, 0.971986772487
dfr_in_no_no_kp_3, 0.9079999999999997, 1.0, 0.986091695011
dfr_in_no_no_kp_4, 0.8949999999999997, 1.0, 0.990408840388
dfr_in_no_no_kps_1, 0.7289999999999999, 1.0, 0.913154848513
dfr_in_no_no_kps_2, 0.7869999999999997, 1.0, 0.960970970333
dfr_in_no_no_kps_3, 0.8009999999999993, 1.0, 0.974072042706
dfr_in_no_no_kps_4, 0.7719999999999995, 1.0, 0.971129409171
dfr_in_no_no_kpw_1, 0.8300000000000004, 1.0, 0.984665099836
dfr_in_no_no_kpw_2, 0.887, 1.0, 0.992488315697
dfr_in_no_no_kpw_3, 0.8790000000000004, 1.0, 0.994979717813
dfr_in_no_no_kpw_4, 0.8920000000000006, 1.0, 0.991576058201
dfr_in_no_no_kpws_1, 0.6710000000000003, 1.0, 0.951248256803
dfr_in_no_no_kpws_2, 0.7889999999999998, 1.0, 0.971675878685
dfr_in_no_no_kpws_3, 0.7810000000000005, 1.0, 0.983530974427
dfr_in_no_no_kpws_4, 0.7990000000000005, 1.0, 0.974185185185
dfr_in_no_no_j_1, 0.7809999999999999, 1.0, 0.939144085412
dfr_in_no_no_j_2, 0.8649999999999998, 1.0, 0.96730026455
dfr_in_no_no_j_3, 0.8849999999999996, 1.0, 0.988630566578
dfr_in_no_no_j_4, 0.8999999999999996, 1.0, 0.98763106261
dfr_in_no_no_js_1, 0.7019999999999997, 1.0, 0.908206372827
dfr_in_no_no_js_2, 0.7849999999999998, 1.0, 0.957579341459
dfr_in_no_no_js_3, 0.7829999999999994, 1.0, 0.970393353175
dfr_in_no_no_js_4, 0.7919999999999991, 1.0, 0.964688413328
dfr_in_no_no_jw_1, 0.8560000000000006, 1.0, 0.980763503086
dfr_in_no_no_jw_2, 0.879, 1.0, 0.993030643739
dfr_in_no_no_jw_3, 0.8990000000000004, 1.0, 0.994427358907
dfr_in_no_no_jw_4, 0.8970000000000005, 1.0, 0.99181037415
dfr_in_no_no_jws_1, 0.682, 1.0, 0.950340006929
